Invoice Date,Project,Invoice No,Amount Outstanding,Project,Branch,Manager,Account
15-Nov-12,P1320,   37254,536.25,P1320,1020,RFRANCIS,MWA002
11-Dec-12,14976,   37580,-640,14976,1030,DBARROW,OPI002
14-Dec-12,P1277,   37622,640,P1277,1030,LHAACK,OPI002
14-Dec-12,P1295,   37626,0,P1295,1030,DHO,OPI002
18-Dec-12,876,   37699,0,876,1030,WKENNA,OPI002
20-Nov-12,,   37338,599.85,,,,
25-Jul-12,720,   35906,0,720,1030,DOBRIEN,PJM001
30-Nov-10,28,    2419,10256.4,28,1020,AULANOV,RAM001
11-Oct-11,10806,    5718,31531.5,10806,1030,NVAUGHAN,HIR003
16-May-12,P1275,   34902,1831.14,P1275,1030,JLEONELLO,ROU001
16-Jul-12,P1275,   35705,2746.71,P1275,1030,JLEONELLO,ROU001
16-Aug-12,P1275,   36072,2288.93,P1275,1030,JLEONELLO,ROU001
15-Oct-12,P1275,   36892,2290.93,P1275,1030,JLEONELLO,ROU001
24-Jul-12,11899,   35855,0,11899,1080,CSTAMATIS,SOU002
25-Oct-12,14226,   37045,0,14226,1080,MSUTTON,SPO003
9-Nov-12,,   37190,0,,,,
20-Jun-12,,   35423,-193.82,,,,
28-Feb-12,13031,    7515,-586.3,13031,1030,GKAICER,SWI001
2-Oct-12,,   36714,0,,,,
16-Oct-12,,   36918,0,,,,
19-Oct-12,14649,   36984,0,14649,1030,DBARROW,GPT002
5-Dec-12,14828,   37476,0,14828,1030,SDOWNES,TCM001
3-Dec-12,,   37483,0,,,,
12-Sep-12,14321,   36313,0,14321,1030,SDOWNES,TRA006
14-Dec-12,P1327,   37658,0,P1327,1020,AMCCLENAHAN,TRI008
14-Dec-12,P1327,   37659,0,P1327,1020,AMCCLENAHAN,TRI008
14-Dec-12,P1378,   37663,0,P1378,1020,AMCCLENAHAN,TRI008
10-Dec-12,14710,   37552,0,14710,1060,RFLYNNE,TRI010
14-Dec-12,P1246,   37673,0,P1246,1020,JSILVESTRO,VEL001
2-May-12,724,    9905,2403.5,724,1030,SDOWNES,VIC002
12-Sep-12,724,   11296,-2403.5,724,1030,SDOWNES,VIC002
18-Aug-10,10439,    1069,2128.5,10439,1030,AVELLIOS,COR002
29-May-12,13672,   35143,-2128.5,13672,1030,ELACARIA,COR002
18-Dec-12,,   37721,0,,,,
