Invoice Date,Project,Invoice No,Amount Outstanding,Project,Branch,Manager,Account
30-Nov-12,,   37454,5181,,,,
28-Nov-11,12452,    6418,1083.5,12452,1020,JERRIQUEZ,WOL001
30-Nov-12,,   37461,0,,,,
18-Sep-12,P1299,   36449,0,P1299,1030,JLEONELLO,JOH006
1-Nov-12,P1299,   36450,0,P1299,1030,JLEONELLO,JOH006
23-Nov-12,13770,   37384,0,13770,1030,DBARROW,JON002
15-Mar-11,P1064,    3156,23352.07,P1064,1080,MSUTTON,JON003
29-Nov-11,12464,    6436,-1145.1,12464,1020,JERRIQUEZ,INV001
7-Dec-11,12464,    6589,608.3,12464,1020,JERRIQUEZ,INV001
18-Oct-11,N196CV01,    5832,1265,N196CV01,1020,DKHOH,KAN001
30-Oct-12,,   37119,0,,,,
26-Nov-12,,   37399,0,,,,
21-Feb-12,,    7408,0,,,,
23-Dec-11,,    6829,6811.2,,,,
28-Aug-12,,   36142,1846.42,,,,
1-Oct-12,,   36930,0,,,,
22-Nov-12,,   37372,3667.47,,,,
6-Jul-12,,CU000108,0,,,,
22-Mar-12,12750,    7821,474.1,12750,1020,MDOWLING,EMM001
22-Mar-12,12982,    7822,0,12982,1020,MDOWLING,EMM001
14-Sep-12,P1258,   36375,0,P1258,1080,CHEDDITCH,MAR002
14-Sep-12,P1258,   36376,0,P1258,1080,CHEDDITCH,MAR002
12-Oct-12,P1258,   36843,2249.4,P1258,1080,CHEDDITCH,MAR002
12-Oct-12,P1258,   36844,7750.6,P1258,1080,CHEDDITCH,MAR002
16-May-11,N193M,    3897,6042.3,N193M,1020,CHEDDITCH,MIR002
24-Jul-12,,   35881,-1445.59,,,,
15-Aug-12,P1334,   36023,0,P1334,1020,IKUSNANDAR,MIR002
28-Nov-12,14896,   37431,1127.5,14896,1080,CHEDDITCH,MIR002
28-Nov-12,14413,   37432,8451.63,14413,1020,SRUTHERFORD,MIR002
15-Aug-12,P1098,   36051,432.1,P1098,1060,CWATTS,MPM001
17-Sep-12,P1098,   36422,1370,P1098,1060,CWATTS,MPM001
16-Nov-12,P1197,   37304,0,P1197,1060,EGAN,MPM001
7-Sep-12,,CU000115,-0.01,,,,
2-Nov-12,827,   37154,0,827,1060,JTAX,MPS002
18-Oct-12,395,   36943,2772.4,395,1080,MSUTTON,GRE001
15-Nov-12,P1320,   37254,536.25,P1320,1020,RFRANCIS,MWA002
20-Nov-12,P1126,   37340,0,P1126,1080,RHAYWARD,NRG001
20-Nov-12,P1144,   37342,0,P1144,1080,MSUTTON,NRG001
21-Nov-12,P1143,   37344,0,P1143,1080,MSUTTON,NRG001
15-Nov-12,P1277,   37274,0,P1277,1030,LHAACK,OPI002
15-Nov-12,P1295,   37275,0,P1295,1030,DHO,OPI002
21-Nov-12,13597,   37346,0,13597,1030,GMIDGLEY,OPI002
15-Nov-12,P1332,   37264,0,P1332,1050,RREID,OPI009
15-Nov-12,P1316,   37280,0,P1316,1030,LHAACK,PAR003
26-Nov-12,879,   37394,0,879,1030,WJABER,PAR003
20-Nov-12,,   37338,599.85,,,,
7-Jun-12,11919,   35310,0,11919,1020,TRABBIDGE,PAT001
25-Jul-12,720,   35906,9460.13,720,1030,DOBRIEN,PJM001
15-Oct-12,P1138,   36890,0,P1138,1030,AVELLIOS,PJM001
30-Nov-10,28,    2419,10256.4,28,1020,AULANOV,RAM001
11-Oct-11,10806,    5718,31531.5,10806,1030,NVAUGHAN,HIR003
16-May-12,P1275,   34902,1831.14,P1275,1030,JLEONELLO,ROU001
16-Jul-12,P1275,   35705,2746.71,P1275,1030,JLEONELLO,ROU001
16-Aug-12,P1275,   36072,2288.93,P1275,1030,JLEONELLO,ROU001
15-Oct-12,P1275,   36892,2290.93,P1275,1030,JLEONELLO,ROU001
28-Jun-12,13832,   35513,0,13832,1020,SRUTHERFORD,SAS001
29-May-09,,00026859,0,,,,
11-Apr-12,P1207,    8067,0,P1207,1030,LHAACK,SHA001
17-Apr-12,P1132,    8157,0,P1132,1030,JLEONELLO,SHA001
16-May-12,P1207,   34907,0,P1207,1030,LHAACK,SHA001
24-Jul-12,11899,   35855,882.2,11899,1080,CSTAMATIS,SOU002
9-Oct-12,,   36788,0,,,,
25-Jul-11,12003,    4884,0,12003,1080,CHEDDITCH,SPO003
25-Oct-12,14226,   37045,6981.33,14226,1080,MSUTTON,SPO003
9-Nov-12,,   37190,3984.74,,,,
20-Jun-12,,   35423,-193.82,,,,
28-Feb-12,13031,    7515,-586.3,13031,1030,GKAICER,SWI001
26-Sep-12,14382,   36577,0,14382,1030,DBARROW,GPT002
26-Sep-12,13829,   36592,0,13829,1030,DBARROW,TCM001
27-Sep-12,14437,   36639,0,14437,1030,SDOWNES,TCM001
2-Oct-12,,   36714,2059.73,,,,
16-Oct-12,,   36918,1393.03,,,,
19-Oct-12,14649,   36984,1127.5,14649,1030,DBARROW,GPT002
11-Sep-12,P1316CV1,   36288,0,P1316CV1,1030,LHAACK,TOB002
12-Sep-12,14321,   36313,937.2,14321,1030,SDOWNES,TRA006
10-Aug-09,,00027560,0,,,,
2-May-12,724,    9905,2403.5,724,1030,SDOWNES,VIC002
12-Sep-12,724,   11296,-2403.5,724,1030,SDOWNES,VIC002
18-Aug-10,10439,    1069,2128.5,10439,1030,AVELLIOS,COR002
29-May-12,13672,   35143,-2128.5,13672,1030,ELACARIA,COR002
17-Jul-12,P1187,   35759,0,P1187,1060,CWATTS,WES005
